date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:39:03	13052/13052	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263667a7f-edf8%22	https://abhishekjha.me/robots.txt		(from )
19:39:04	37272/37272	---M-Z	200	added ('OK')	text/html	etag:W/%2263667a7f-9198%22	https://abhishekjha.me/	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/index.html	(from )
19:39:04	1415/1415	---M-Z	200	added ('OK')	text/css	etag:W/%2263667a7f-587%22	https://abhishekjha.me/index.3df6df01.css	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/index.3df6df01.css	(from https://abhishekjha.me/)
19:39:04	23833/23833	---M-Z	200	added ('OK')	text/css	etag:W/%2263667a7f-5d19%22	https://abhishekjha.me/index.24a51c92.css	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/index.24a51c92.css	(from https://abhishekjha.me/)
19:39:04	18898/18898	---M-Z	200	added ('OK')	text/css	etag:W/%2263667a7f-49d2%22	https://abhishekjha.me/index.2b8c6830.css	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/index.2b8c6830.css	(from https://abhishekjha.me/)
19:39:05	7131/7131	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-1bdb%22	https://abhishekjha.me/favicon.f978ef38.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/favicon.f978ef38.svg	(from https://abhishekjha.me/)
19:39:05	37272/37272	---M-Z	200	added ('OK')	text/html	etag:W/%2263667a7f-9198%22	https://abhishekjha.me/index.html	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/index-2.html	(from https://abhishekjha.me/)
19:39:05	18870/18870	---M-Z	200	added ('OK')	text/html	etag:W/%2263667a7f-49b6%22	https://abhishekjha.me/playbook.html	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/playbook.html	(from https://abhishekjha.me/)
19:39:05	56749/56749	---M--	200	added ('OK')	image/png	etag:%2263667a7f-ddad%22	https://abhishekjha.me/aei1.addc8e76.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/aei1.addc8e76.png	(from https://abhishekjha.me/)
19:39:05	22505/22505	---M--	200	added ('OK')	image/png	etag:%2263667a7f-57e9%22	https://abhishekjha.me/aei2.f4af4eea.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/aei2.f4af4eea.png	(from https://abhishekjha.me/)
19:39:06	150663/150663	---M--	200	added ('OK')	image/png	etag:%2263667a7f-24c87%22	https://abhishekjha.me/aei3.9946c78c.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/aei3.9946c78c.png	(from https://abhishekjha.me/)
19:39:06	170147/170147	---M--	200	added ('OK')	image/png	etag:%2263667a7f-298a3%22	https://abhishekjha.me/aei4.3c14b4c9.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/aei4.3c14b4c9.png	(from https://abhishekjha.me/)
19:39:06	73780/73780	---M--	200	added ('OK')	image/png	etag:%2263667a7f-12034%22	https://abhishekjha.me/aei5.5e3b3f8d.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/aei5.5e3b3f8d.png	(from https://abhishekjha.me/)
19:39:06	155919/155919	---M--	200	added ('OK')	image/png	etag:%2263667a7f-2610f%22	https://abhishekjha.me/dis1.a68a59af.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/dis1.a68a59af.png	(from https://abhishekjha.me/)
19:39:07	28483/28483	---M--	200	added ('OK')	image/png	etag:%2263667a7f-6f43%22	https://abhishekjha.me/dis2.ab5a2a48.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/dis2.ab5a2a48.png	(from https://abhishekjha.me/)
19:39:07	50812/50812	---M--	200	added ('OK')	image/png	etag:%2263667a7f-c67c%22	https://abhishekjha.me/dis3.959a693c.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/dis3.959a693c.png	(from https://abhishekjha.me/)
19:39:07	32794/32794	---M--	200	added ('OK')	image/png	etag:%2263667a7f-801a%22	https://abhishekjha.me/dis4.652c25b1.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/dis4.652c25b1.png	(from https://abhishekjha.me/)
19:39:07	109191/109191	---M--	200	added ('OK')	image/png	etag:%2263667a7f-1aa87%22	https://abhishekjha.me/dis5.84416503.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/dis5.84416503.png	(from https://abhishekjha.me/)
19:39:07	39466/39466	---M--	200	added ('OK')	image/png	etag:%2263667a7f-9a2a%22	https://abhishekjha.me/qua1.dea54829.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/qua1.dea54829.png	(from https://abhishekjha.me/)
19:39:08	71634/71634	---M--	200	added ('OK')	image/png	etag:%2263667a7f-117d2%22	https://abhishekjha.me/qua2.1f02501c.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/qua2.1f02501c.png	(from https://abhishekjha.me/)
19:39:08	49852/49852	---M--	200	added ('OK')	image/png	etag:%2263667a7f-c2bc%22	https://abhishekjha.me/qua3.53626716.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/qua3.53626716.png	(from https://abhishekjha.me/)
19:39:08	32039/32039	---M--	200	added ('OK')	image/png	etag:%2263667a7f-7d27%22	https://abhishekjha.me/qua4.6f17bba7.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/qua4.6f17bba7.png	(from https://abhishekjha.me/)
19:39:08	27083/27083	---M--	200	added ('OK')	image/png	etag:%2263667a7f-69cb%22	https://abhishekjha.me/qua5.f7ab19d7.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/qua5.f7ab19d7.png	(from https://abhishekjha.me/)
19:39:09	232248/232248	---M--	200	added ('OK')	image/png	etag:%2263667a7f-38b38%22	https://abhishekjha.me/mut1.10ba212d.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/mut1.10ba212d.png	(from https://abhishekjha.me/)
19:39:09	181900/181900	---M--	200	added ('OK')	image/png	etag:%2263667a7f-2c68c%22	https://abhishekjha.me/mut2.06596ac6.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/mut2.06596ac6.png	(from https://abhishekjha.me/)
19:39:09	89251/89251	---M--	200	added ('OK')	image/png	etag:%2263667a7f-15ca3%22	https://abhishekjha.me/mut3.341ab85c.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/mut3.341ab85c.png	(from https://abhishekjha.me/)
19:39:09	72516/72516	---M--	200	added ('OK')	image/png	etag:%2263667a7f-11b44%22	https://abhishekjha.me/mut4.a21e1ca0.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/mut4.a21e1ca0.png	(from https://abhishekjha.me/)
19:39:09	48279/48279	---M--	200	added ('OK')	image/png	etag:%2263667a7f-bc97%22	https://abhishekjha.me/mut5.cccd00fc.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/mut5.cccd00fc.png	(from https://abhishekjha.me/)
19:39:10	95921/95921	---M--	200	added ('OK')	image/png	etag:%2263667a7f-176b1%22	https://abhishekjha.me/vis1.ef4b47ec.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/vis1.ef4b47ec.png	(from https://abhishekjha.me/)
19:39:10	116752/116752	---M--	200	added ('OK')	image/png	etag:%2263667a7f-1c810%22	https://abhishekjha.me/vis2.f08a2dac.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/vis2.f08a2dac.png	(from https://abhishekjha.me/)
19:39:10	147366/147366	---M--	200	added ('OK')	image/png	etag:%2263667a7f-23fa6%22	https://abhishekjha.me/vis3.ba5c3bad.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/vis3.ba5c3bad.png	(from https://abhishekjha.me/)
19:39:10	274083/274083	---M--	200	added ('OK')	image/png	etag:%2263667a7f-42ea3%22	https://abhishekjha.me/vis4.616e3ffb.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/vis4.616e3ffb.png	(from https://abhishekjha.me/)
19:39:11	162953/162953	---M--	200	added ('OK')	image/png	etag:%2263667a7f-27c89%22	https://abhishekjha.me/vis5.13277bac.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/vis5.13277bac.png	(from https://abhishekjha.me/)
19:39:11	563/563	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-233%22	https://abhishekjha.me/down-arrow.040970d7.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/down-arrow.040970d7.svg	(from https://abhishekjha.me/)
19:39:11	525/525	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-20d%22	https://abhishekjha.me/contact-icon.dee7a034.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/contact-icon.dee7a034.svg	(from https://abhishekjha.me/)
19:39:11	578775/578775	---M--	200	added ('OK')	image/png	etag:%2263667a7f-8d4d7%22	https://abhishekjha.me/card1.a0552dbc.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/card1.a0552dbc.png	(from https://abhishekjha.me/)
19:39:11	199081/199081	---M--	200	added ('OK')	image/png	etag:%2263667a7f-309a9%22	https://abhishekjha.me/card2.cfc820ab.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/card2.cfc820ab.png	(from https://abhishekjha.me/)
19:39:12	521812/521812	---M--	200	added ('OK')	image/png	etag:%2263667a7f-7f654%22	https://abhishekjha.me/card3.b705d81b.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/card3.b705d81b.png	(from https://abhishekjha.me/)
19:39:12	430698/430698	---M--	200	added ('OK')	image/png	etag:%2263667a7f-6926a%22	https://abhishekjha.me/aeizei.7edf201c.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/aeizei.7edf201c.png	(from https://abhishekjha.me/)
19:39:12	198003/198003	---M--	200	added ('OK')	image/png	etag:%2263667a7f-30573%22	https://abhishekjha.me/display.835f9d62.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/display.835f9d62.png	(from https://abhishekjha.me/)
19:39:12	553581/553581	---M--	200	added ('OK')	image/png	etag:%2263667a7f-8726d%22	https://abhishekjha.me/quaive.6fc624fe.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/quaive.6fc624fe.png	(from https://abhishekjha.me/)
19:39:13	1199883/1199883	---M--	200	added ('OK')	image/png	etag:%2263667a7f-124f0b%22	https://abhishekjha.me/muteza.4faa619b.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/muteza.4faa619b.png	(from https://abhishekjha.me/)
19:39:13	908652/908652	---M--	200	added ('OK')	image/png	etag:%2263667a7f-ddd6c%22	https://abhishekjha.me/visavia4.631e000e.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/visavia4.631e000e.png	(from https://abhishekjha.me/)
19:39:14	17944/17944	---M-Z	200	added ('OK')	text/html	etag:W/%2263667a7e-4618%22	https://abhishekjha.me/2020/	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/2020/index.html	(from https://abhishekjha.me/)
19:39:14	514/514	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-202%22	https://abhishekjha.me/new-tab.737d741b.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/new-tab.737d741b.svg	(from https://abhishekjha.me/)
19:39:14	3139/3139	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-c43%22	https://abhishekjha.me/behance.ca83ecae.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/behance.ca83ecae.svg	(from https://abhishekjha.me/)
19:39:14	281194/281194	---M--	200	added ('OK')	image/png	etag:%2263667a7f-44a6a%22	https://abhishekjha.me/headshot.d60093a0.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/headshot.d60093a0.png	(from https://abhishekjha.me/)
19:39:14	3451/3451	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-d7b%22	https://abhishekjha.me/insta.f788fd3b.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/insta.f788fd3b.svg	(from https://abhishekjha.me/)
19:39:14	1411/1411	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-583%22	https://abhishekjha.me/twitter.4c1829c0.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/twitter.4c1829c0.svg	(from https://abhishekjha.me/)
19:39:15	1667/1667	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-683%22	https://abhishekjha.me/dribbble.b18d5ad5.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/dribbble.b18d5ad5.svg	(from https://abhishekjha.me/)
19:39:15	351/351	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-15f%22	https://abhishekjha.me/close.e11d51cb.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/close.e11d51cb.svg	(from https://abhishekjha.me/)
19:39:15	284/284	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-11c%22	https://abhishekjha.me/ui-arrow-desktop.02091565.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/ui-arrow-desktop.02091565.svg	(from https://abhishekjha.me/)
19:39:16	496/496	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263667a7f-1f0%22	https://abhishekjha.me/back.62af88e3.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/back.62af88e3.svg	(from https://abhishekjha.me/)
19:39:16	1099509/1099509	---M--	200	added ('OK')	image/png	etag:%2263667a7f-10c6f5%22	https://abhishekjha.me/cate1.012f66c0.png	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/cate1.012f66c0.png	(from https://abhishekjha.me/)
19:39:16	177715/177715	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263667a7f-2b633%22	https://abhishekjha.me/playbook.9fb05f6e.js	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/playbook.9fb05f6e.js	(from https://abhishekjha.me/)
19:39:16	190/190	---M--	200	added ('OK')	image/svg+xml	etag:%2263667a7f-be%22	https://abhishekjha.me/drop-down.0028b9b3.svg	D:/IRFAN/My%20Web%20Sites/abhishekjha.me1/abhishekjha.me/drop-down.0028b9b3.svg	(from https://abhishekjha.me/index.24a51c92.css)
